"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Maxwel Cornet","ci CIV","MF,FW","West Ham","27-169","1996","5","1","105","1.2","1","0","1","1","0","0","0","0","0.4","0.4","0.2","0.6","3","2","7","0.86","0.00","0.86","0.86","0.86","0.34","0.14","0.49","0.34","0.49","Matches","2023/2024","4","1","25.0","3.43","0.86","0.25","1.00","12.5","0","0.10","+0.6","+0.6","28","39","71.8","346","67","22","27","81.5","5","7","71.4","0","1","0.0","0.0","-0.2","4","0","0","0","2","3","2","3","0","0","1","5","20.0","4","0","0","0","1","4","1","0"
"Vladimír Coufal","cz CZE","DF","West Ham","31-205","1992","26","26","2,300","25.6","0","6","6","0","0","0","7","1","0.0","0.0","3.0","3.0","52","95","99","0.00","0.23","0.23","0.00","0.23","0.00","0.12","0.12","0.00","0.12","Matches","2023/2024","2","0","0.0","0.08","0.00","0.00","","29.4","0","0.02","0.0","0.0","865","1261","68.6","13976","6989","453","509","89.0","336","472","71.2","58","194","29.9","2.1","+3.0","27","76","30","16","95","52","35","42","8","2","32","57","56.1","25","29","9","20","36","88","78","0"
"Philippe Coutinho","br BRA","MF,FW","Aston Villa","31-276","1992","2","0","25","0.3","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","5","5","2","0.00","0.00","0.00","0.00","0.00","0.52","0.00","0.52","0.52","0.52","Matches","2023/2024","3","1","33.3","10.80","3.60","0.00","0.00","24.9","0","0.05","-0.1","-0.1","20","24","83.3","265","63","11","14","78.6","8","9","88.9","0","0","","0.0","0.0","0","4","0","0","5","0","0","0","0","0","0","1","0.0","1","0","0","0","0","0","0","0"
"Aaron Cresswell","eng ENG","DF","West Ham","34-090","1989","5","3","235","2.6","0","0","0","0","0","0","1","0","0.0","0.0","0.3","0.3","3","16","3","0.00","0.00","0.00","0.00","0.00","0.00","0.13","0.13","0.00","0.13","Matches","2023/2024","0","0","","0.00","0.00","","","","0","","0.0","0.0","133","160","83.1","2101","880","84","90","93.3","32","42","76.2","13","23","56.5","0.3","-0.3","4","8","2","0","16","1","0","1","0","0","1","2","50.0","1","3","2","1","1","2","4","0"
"Marc Cucurella","es ESP","DF","Chelsea","25-236","1998","10","9","793","8.8","0","0","0","0","0","0","5","0","0.8","0.8","0.2","1.0","16","26","31","0.00","0.00","0.00","0.00","0.00","0.09","0.02","0.11","0.09","0.11","Matches","2023/2024","4","3","75.0","0.45","0.34","0.00","0.00","14.7","0","0.20","-0.8","-0.8","479","560","85.5","7154","1964","262","289","90.7","189","210","90.0","16","35","45.7","0.3","-0.2","6","24","2","0","26","33","22","18","13","2","19","31","61.3","12","18","6","12","13","46","26","0"
"Josh Cullen","ie IRL","MF","Burnley","27-342","1996","15","13","1,168","13.0","0","1","1","0","0","0","5","0","0.2","0.2","0.8","0.9","9","61","11","0.00","0.08","0.08","0.00","0.08","0.01","0.06","0.07","0.01","0.07","Matches","2023/2024","6","1","16.7","0.46","0.08","0.00","0.00","24.5","0","0.03","-0.2","-0.2","645","761","84.8","10070","2320","350","379","92.3","255","284","89.8","26","62","41.9","1.0","+0.2","11","50","10","1","61","24","16","10","12","2","14","24","58.3","10","20","11","9","7","31","17","0"
"Matheus Cunha","br BRA","FW,MF","Wolves","24-292","1999","24","24","1,961","21.8","9","6","15","8","1","1","5","0","8.2","7.4","3.1","10.5","93","60","108","0.41","0.28","0.69","0.37","0.64","0.38","0.14","0.52","0.34","0.48","Matches","2023/2024","59","30","50.8","2.71","1.38","0.14","0.27","18.3","0","0.13","+0.8","+0.6","502","637","78.8","6696","1707","319","369","86.4","134","169","79.3","24","44","54.5","2.4","+2.9","25","40","25","1","60","24","11","6","15","3","10","30","33.3","20","23","7","16","13","37","16","1"
"Mahmoud Dahoud","de GER","MF","Brighton","28-073","1996","9","6","452","5.0","0","1","1","0","0","0","1","1","0.2","0.2","0.9","1.1","4","11","6","0.00","0.20","0.20","0.00","0.20","0.04","0.18","0.22","0.04","0.22","Matches","2023/2024","6","1","16.7","1.19","0.20","0.00","0.00","26.8","0","0.04","-0.2","-0.2","284","328","86.6","4011","886","169","176","96.0","84","99","84.8","16","25","64.0","0.4","+0.1","10","21","1","1","11","9","4","2","4","3","3","9","33.3","6","4","1","3","1","10","5","0"
"Ameen Al-Dakhil","be BEL","DF","Burnley","22-008","2002","13","12","1,056","11.7","1","0","1","1","0","0","1","0","1.3","1.3","0.1","1.4","7","35","9","0.09","0.00","0.09","0.09","0.09","0.11","0.01","0.12","0.11","0.12","Matches","2023/2024","8","3","37.5","0.68","0.26","0.13","0.33","16.0","0","0.16","-0.3","-0.3","537","637","84.3","9642","2939","208","220","94.5","280","321","87.2","42","77","54.5","0.6","-0.1","2","13","2","0","35","12","5","4","7","1","1","10","10.0","9","13","6","7","12","24","38","2"
"Diogo Dalot","pt POR","DF","Manchester Utd","24-362","1999","26","25","2,274","25.3","1","2","3","1","0","0","6","1","0.9","0.9","1.9","2.7","42","90","87","0.04","0.08","0.12","0.04","0.12","0.03","0.07","0.11","0.03","0.11","Matches","2023/2024","21","4","19.0","0.83","0.16","0.05","0.25","20.6","0","0.04","+0.1","+0.1","1064","1325","80.3","18394","5755","501","568","88.2","409","503","81.3","120","176","68.2","1.8","+0.1","23","77","23","13","90","56","36","41","8","7","35","48","72.9","13","34","12","22","27","83","84","0"
