"Name","Nationality","Position","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","Goals","Assists","GA","NonPenGoals","PensScored","PensAttempted","YellowCards","RedCards","xG","npxG","xAG","npxG + xAG","ProgressiveCarries","ProgressivePasses","ProgressivePassesReceived","G/90","A/90","GA/90","NonPenGoals/90","NonPenGA/90","xG/90","xAG/90","xA+xG /90","npxG/90","npXG + xAG /90","Matches","Season","Shots","ShotsOnTarget","SoT%","S/90","SoT/90","G/Shot","G/SoT","AvgShotDist","FKShots","npxG/Shot","Goals - xG","npG - npxG","PassesCompleted","PassesAttempted","PercentPassesCompleted","TotalPassingDistance","ProgressedPassingDistance","ShortPassesCompleted","ShortPassesAttempted","ShortPassesPercentCompleted","MedPassesCompleted","MedPassesAttempted","MedPassesPercentCompleted","LongPassesCompleted","LongPassesAttempted","LongPassesPercentCompleted","xA","A - xAG","KeyPasses","1/3","PPen","CPen","Progressive Passes","Tackles","TacklesWon","TklsDefThird","TklsMidThird","TklsAttThird","DribblersTackled","DribblesChallenged","DrblTkl%","ChallengesLost","Blocks","BlockedShots","BlockedPasses","Interceptions","Tackles + Interceptions","Clearances","DefensiveErrors"
"Boubakary Soumaré","fr FRA","MF","Leicester City","22","1999","19","12","1,102","12.2","0","1","1","0","0","0","0","0","0.4","0.4","0.4","0.7","10","45","16","0.00","0.08","0.08","0.00","0.08","0.03","0.03","0.06","0.03","0.06","Matches","2021/2022","6","2","33.3","0.49","0.16","0.00","0.00","18.6","0","0.06","-0.4","-0.4","444","542","81.9","6701","1678","241","280","86.1","156","184","84.8","31","46","67.4","0.3","+0.6","6","38","5","1","45","19","13","10","8","1","8","17","47.1","9","13","1","12","14","33","18","0"
"Çaglar Söyüncü","tr TUR","DF","Leicester City","25","1996","28","28","2,497","27.7","1","0","1","1","0","0","5","0","1.0","1.0","0.1","1.1","19","71","5","0.04","0.00","0.04","0.04","0.04","0.04","0.00","0.04","0.04","0.04","Matches","2021/2022","8","1","12.5","0.29","0.04","0.13","1.00","12.0","0","0.13","0.0","0.0","1630","1935","84.2","29197","10178","654","720","90.8","827","894","92.5","125","263","47.5","0.2","-0.1","3","70","3","2","71","47","30","32","12","3","26","42","61.9","16","44","27","17","32","79","115","1"
"Tony Springett","ie IRL","MF,FW","Norwich City","18","2002","3","1","141","1.6","0","0","0","0","0","0","1","0","0.2","0.2","0.5","0.7","8","2","11","0.00","0.00","0.00","0.00","0.00","0.11","0.34","0.45","0.11","0.45","Matches","2021/2022","1","1","100.0","0.64","0.64","0.00","0.00","12.9","0","0.17","-0.2","-0.2","25","38","65.8","348","78","16","22","72.7","9","10","90.0","0","2","0.0","0.0","-0.5","2","1","1","1","2","2","1","1","1","0","1","4","25.0","3","0","0","0","0","2","2","0"
"Jason Steele","eng ENG","GK","Brighton","30","1990","1","1","90","1.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2021/2022","0","0","","0.00","0.00","","","","0","","0.0","0.0","34","38","89.5","744","408","9","9","100.0","21","21","100.0","4","8","50.0","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Jed Steer","eng ENG","GK","Aston Villa","28","1992","1","1","90","1.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2021/2022","0","0","","0.00","0.00","","","","0","","0.0","0.0","30","38","78.9","700","558","8","8","100.0","17","17","100.0","5","13","38.5","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Zack Steffen","us USA","GK","Manchester City","26","1995","1","1","90","1.0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2021/2022","0","0","","0.00","0.00","","","","0","","0.0","0.0","34","39","87.2","567","330","17","17","100.0","15","15","100.0","2","7","28.6","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","2","0"
"Dale Stephens","eng ENG","MF","Burnley","32","1989","3","1","124","1.4","0","0","0","0","0","0","1","0","0.0","0.0","0.0","0.1","0","5","1","0.00","0.00","0.00","0.00","0.00","0.02","0.02","0.04","0.02","0.04","Matches","2021/2022","1","0","0.0","0.73","0.00","0.00","","22.8","0","0.03","0.0","0.0","46","57","80.7","812","228","20","27","74.1","17","20","85.0","7","7","100.0","0.1","0.0","1","4","2","0","5","4","1","0","3","1","3","8","37.5","5","4","1","3","1","5","1","0"
"Jack Stephens","eng ENG","DF","Southampton","27","1994","11","9","811","9.0","0","0","0","0","0","0","3","0","0.0","0.0","0.3","0.3","7","28","3","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.04","0.00","0.04","Matches","2021/2022","0","0","","0.00","0.00","","","","0","","0.0","0.0","361","474","76.2","6659","2565","143","158","90.5","184","219","84.0","29","79","36.7","0.2","-0.3","4","24","1","0","28","19","12","13","5","1","6","16","37.5","10","12","7","5","19","38","42","0"
"Raheem Sterling","eng ENG","FW","Manchester City","26","1994","30","23","2,128","23.6","13","5","18","11","2","3","1","0","14.0","11.5","5.5","17.0","108","65","317","0.55","0.21","0.76","0.47","0.68","0.59","0.23","0.82","0.49","0.72","Matches","2021/2022","54","25","46.3","2.28","1.06","0.20","0.44","14.0","0","0.21","-1.0","-0.5","714","880","81.1","9140","1729","479","527","90.9","184","226","81.4","14","29","48.3","4.6","-0.5","42","15","48","9","65","23","10","3","11","9","10","23","43.5","13","12","0","12","12","35","3","0"
"Finley Stevens","wls WAL","DF","Brentford","18","2003","1","0","15","0.2","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.1","0","2","2","0.00","0.00","0.00","0.00","0.00","0.00","0.33","0.33","0.00","0.33","Matches","2021/2022","0","0","","0.00","0.00","","","","0","","0.0","0.0","5","7","71.4","82","39","3","3","100.0","1","2","50.0","1","2","50.0","0.0","-0.1","1","0","1","0","2","3","1","0","3","0","1","1","100.0","0","0","0","0","0","3","0","0"
"John Stones","eng ENG","DF","Manchester City","27","1994","14","12","1,119","12.4","1","0","1","1","0","0","0","0","0.9","0.9","0.2","1.1","28","63","7","0.08","0.00","0.08","0.08","0.08","0.07","0.01","0.09","0.07","0.09","Matches","2021/2022","9","5","55.6","0.72","0.40","0.11","0.20","13.2","0","0.10","+0.1","+0.1","911","1001","91.0","16544","4754","391","420","93.1","426","455","93.6","83","102","81.4","0.3","-0.2","4","82","4","0","63","5","3","3","2","0","2","3","66.7","1","3","3","0","11","16","27","1"
"Pascal Struijk","nl NED","DF,MF","Leeds United","21","1999","29","22","2,055","22.8","1","0","1","1","0","0","6","1","1.4","1.4","0.4","1.9","8","86","10","0.04","0.00","0.04","0.04","0.04","0.06","0.02","0.08","0.06","0.08","Matches","2021/2022","11","3","27.3","0.48","0.13","0.09","0.33","9.1","0","0.14","-0.4","-0.4","1089","1278","85.2","20168","6807","372","423","87.9","616","665","92.6","85","148","57.4","0.2","-0.4","11","62","1","0","86","61","39","34","23","4","30","50","60.0","20","35","23","12","33","94","60","2"
"Crysencio Summerville","nl NED","MF,FW","Leeds United","19","2001","6","0","130","1.4","0","0","0","0","0","0","0","0","0.2","0.2","0.0","0.3","5","7","16","0.00","0.00","0.00","0.00","0.00","0.17","0.03","0.19","0.17","0.19","Matches","2021/2022","2","0","0.0","1.38","0.00","0.00","","12.7","0","0.12","-0.2","-0.2","51","70","72.9","638","142","32","37","86.5","14","21","66.7","1","3","33.3","0.1","0.0","2","2","4","0","7","5","3","1","1","3","2","3","66.7","1","2","0","2","2","7","0","0"
"Jakob Sørensen","dk DEN","MF,DF","Norwich City","23","1998","10","6","604","6.7","0","0","0","0","0","0","0","0","0.5","0.5","0.0","0.5","4","20","4","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.07","0.07","0.07","Matches","2021/2022","5","1","20.0","0.75","0.15","0.00","0.00","16.5","0","0.10","-0.5","-0.5","251","309","81.2","4615","1347","98","111","88.3","117","132","88.6","29","50","58.0","0.1","0.0","0","21","2","1","20","22","11","6","14","2","10","20","50.0","10","7","3","4","10","32","19","0"
"Japhet Tanganga","eng ENG","DF","Tottenham","22","1999","11","10","735","8.2","0","0","0","0","0","0","4","1","0.4","0.4","0.2","0.7","13","20","21","0.00","0.00","0.00","0.00","0.00","0.05","0.03","0.08","0.05","0.08","Matches","2021/2022","7","2","28.6","0.86","0.24","0.00","0.00","13.3","0","0.06","-0.4","-0.4","333","407","81.8","4995","1531","175","191","91.6","124","158","78.5","19","36","52.8","0.4","-0.2","2","9","4","1","20","14","8","7","6","1","9","19","47.4","10","13","5","8","9","23","31","0"
"Matt Targett","eng ENG","DF","Aston Villa","25","1995","17","17","1,431","15.9","1","1","2","1","0","0","2","0","0.5","0.5","1.7","2.2","19","83","79","0.06","0.06","0.13","0.06","0.13","0.03","0.11","0.14","0.03","0.14","Matches","2021/2022","7","2","28.6","0.44","0.13","0.14","0.50","13.5","0","0.07","+0.5","+0.5","592","823","71.9","10224","4703","287","338","84.9","238","299","79.6","56","131","42.7","1.6","-0.7","21","68","20","8","83","34","18","28","5","1","24","45","53.3","21","16","9","7","23","57","35","0"
"Matt Targett","eng ENG","DF","Newcastle Utd","25","1995","16","16","1,440","16.0","0","0","0","0","0","0","1","0","0.3","0.3","1.9","2.2","11","53","40","0.00","0.00","0.00","0.00","0.00","0.02","0.12","0.14","0.02","0.14","Matches","2021/2022","6","3","50.0","0.37","0.19","0.00","0.00","16.3","0","0.05","-0.3","-0.3","566","789","71.7","9448","4669","275","310","88.7","230","302","76.2","46","131","35.1","1.5","-1.9","20","47","13","6","53","41","26","26","14","1","24","37","64.9","13","15","4","11","25","66","39","1"
"James Tarkowski","eng ENG","DF","Burnley","28","1992","35","35","3,106","34.5","1","2","3","1","0","0","11","0","2.5","2.5","0.5","3.0","3","97","11","0.03","0.06","0.09","0.03","0.09","0.07","0.01","0.09","0.07","0.09","Matches","2021/2022","22","6","27.3","0.64","0.17","0.05","0.17","11.3","0","0.12","-1.5","-1.5","816","1190","68.6","18096","8529","259","356","72.8","369","479","77.0","172","314","54.8","0.9","+1.5","10","75","12","0","97","65","45","47","17","1","33","47","70.2","14","75","61","14","48","113","186","4"
"Nuno Tavares","pt POR","DF","Arsenal","21","2000","22","13","1,176","13.1","1","1","2","1","0","0","2","0","1.9","1.9","1.1","2.9","47","42","91","0.08","0.08","0.15","0.08","0.15","0.14","0.08","0.22","0.14","0.22","Matches","2021/2022","23","2","8.7","1.76","0.15","0.04","0.50","19.8","0","0.08","-0.9","-0.9","581","727","79.9","8861","2473","324","357","90.8","220","260","84.6","25","59","42.4","1.0","-0.1","10","37","10","5","42","21","14","10","7","4","8","18","44.4","10","15","5","10","9","30","33","1"
"Charlie Taylor","eng ENG","DF","Burnley","27","1993","31","30","2,731","30.3","0","3","3","0","0","0","3","0","0.2","0.2","3.8","4.0","58","91","77","0.00","0.10","0.10","0.00","0.10","0.01","0.13","0.13","0.01","0.13","Matches","2021/2022","7","0","0.0","0.23","0.00","0.00","","22.4","0","0.02","-0.2","-0.2","968","1375","70.4","16556","7025","497","563","88.3","344","455","75.6","101","262","38.5","2.4","-0.8","21","72","25","19","91","45","26","31","11","3","26","44","59.1","18","42","20","22","58","103","95","2"
"Nathan Tella","ng NGA","MF,FW","Southampton","22","1999","14","10","804","8.9","0","1","1","0","0","0","2","0","0.6","0.6","0.6","1.2","22","17","44","0.00","0.11","0.11","0.00","0.11","0.07","0.07","0.13","0.07","0.13","Matches","2021/2022","12","5","41.7","1.34","0.56","0.00","0.00","21.8","0","0.05","-0.6","-0.6","103","177","58.2","1445","383","61","81","75.3","31","55","56.4","4","13","30.8","0.3","+0.4","7","11","4","3","17","13","9","5","7","1","6","17","35.3","11","13","0","13","6","19","9","0"
"Alex Telles","br BRA","DF","Manchester Utd","28","1992","21","18","1,660","18.4","0","4","4","0","0","0","1","0","0.4","0.4","1.9","2.3","36","66","102","0.00","0.22","0.22","0.00","0.22","0.02","0.10","0.12","0.02","0.12","Matches","2021/2022","10","3","30.0","0.54","0.16","0.00","0.00","23.1","4","0.04","-0.4","-0.4","898","1205","74.5","13213","5198","531","592","89.7","288","389","74.0","53","163","32.5","2.2","+2.1","26","53","16","9","66","48","27","35","9","4","27","43","62.8","16","17","4","13","26","74","45","0"
"Luke Thomas","eng ENG","DF","Leicester City","20","2001","22","21","1,912","21.2","0","1","1","0","0","0","2","0","0.1","0.1","1.3","1.5","28","95","59","0.00","0.05","0.05","0.00","0.05","0.01","0.06","0.07","0.01","0.07","Matches","2021/2022","4","0","0.0","0.19","0.00","0.00","","19.0","0","0.04","-0.1","-0.1","1007","1272","79.2","14404","5124","597","660","90.5","346","434","79.7","37","96","38.5","1.3","-0.3","12","75","13","3","95","50","31","33","13","4","28","65","43.1","37","35","14","21","40","90","55","0"
"Dominic Thompson","eng ENG","DF","Brentford","21","2000","2","2","146","1.6","0","0","0","0","0","0","0","0","0.1","0.1","0.0","0.1","0","0","3","0.00","0.00","0.00","0.00","0.00","0.04","0.00","0.04","0.04","0.04","Matches","2021/2022","1","0","0.0","0.62","0.00","0.00","","14.7","0","0.06","-0.1","-0.1","21","41","51.2","297","81","13","18","72.2","8","13","61.5","0","8","0.0","0.0","0.0","0","0","0","0","0","1","0","1","0","0","0","1","0.0","1","2","2","0","2","3","3","0"
"Youri Tielemans","be BEL","MF","Leicester City","24","1997","32","29","2,631","29.2","6","4","10","4","2","2","3","0","4.4","2.8","4.2","7.0","31","202","69","0.21","0.14","0.34","0.14","0.27","0.15","0.15","0.29","0.10","0.24","Matches","2021/2022","57","15","26.3","1.95","0.51","0.07","0.27","25.0","0","0.05","+1.6","+1.2","1451","1785","81.3","23843","7353","720","808","89.1","574","672","85.4","119","209","56.9","3.8","-0.2","37","171","28","7","202","74","38","23","45","6","42","100","42.0","58","47","13","34","21","95","41","3"
"Kieran Tierney","sct SCO","DF","Arsenal","24","1997","22","22","1,915","21.3","1","3","4","1","0","0","0","0","0.6","0.6","1.8","2.4","62","105","128","0.05","0.14","0.19","0.05","0.19","0.03","0.09","0.11","0.03","0.11","Matches","2021/2022","15","5","33.3","0.70","0.23","0.07","0.20","20.8","0","0.04","+0.4","+0.4","900","1165","77.3","16286","5207","379","427","88.8","431","513","84.0","82","174","47.1","1.7","+1.2","20","81","24","12","105","18","14","11","7","0","10","11","90.9","1","23","5","18","15","33","54","0"
"Takehiro Tomiyasu","jp JPN","DF","Arsenal","22","1998","21","20","1,679","18.7","0","1","1","0","0","0","2","0","0.6","0.6","1.0","1.6","32","96","41","0.00","0.05","0.05","0.00","0.05","0.03","0.05","0.09","0.03","0.09","Matches","2021/2022","11","2","18.2","0.59","0.11","0.00","0.00","17.1","0","0.06","-0.6","-0.6","888","1098","80.9","14779","5387","441","497","88.7","375","449","83.5","57","107","53.3","1.1","0.0","13","91","17","12","96","35","17","19","13","3","21","32","65.6","11","22","3","19","24","59","64","2"
"James Tomkins","eng ENG","DF","Crystal Palace","32","1989","8","6","547","6.1","1","0","1","1","0","0","2","0","0.5","0.5","0.2","0.7","1","8","1","0.16","0.00","0.16","0.16","0.16","0.08","0.03","0.11","0.08","0.11","Matches","2021/2022","4","2","50.0","0.66","0.33","0.25","0.50","13.7","0","0.12","+0.5","+0.5","277","320","86.6","6021","1857","58","68","85.3","177","188","94.1","40","61","65.6","0.1","-0.2","2","5","0","0","8","8","3","6","2","0","6","8","75.0","2","8","8","0","4","12","18","0"
"Ivan Toney","eng ENG","FW","Brentford","25","1996","33","32","2,909","32.3","12","5","17","7","5","5","8","0","11.4","7.4","5.8","13.3","28","83","168","0.37","0.15","0.53","0.22","0.37","0.35","0.18","0.53","0.23","0.41","Matches","2021/2022","83","24","28.9","2.57","0.74","0.08","0.29","15.8","0","0.09","+0.6","-0.4","440","779","56.5","5786","2033","266","411","64.7","108","204","52.9","23","51","45.1","5.6","-0.8","43","56","25","2","83","33","21","5","20","8","12","38","31.6","26","16","2","14","14","47","44","1"
"Ferrán Torres","es ESP","FW","Manchester City","21","2000","4","4","303","3.4","2","1","3","2","0","0","0","0","2.8","2.8","0.0","2.8","5","4","26","0.59","0.30","0.89","0.59","0.89","0.83","0.01","0.84","0.83","0.84","Matches","2021/2022","13","4","30.8","3.86","1.19","0.15","0.50","14.2","0","0.21","-0.8","-0.8","54","74","73.0","711","64","32","39","82.1","15","20","75.0","2","3","66.7","0.2","+1.0","1","0","1","0","4","2","2","0","1","1","0","3","0.0","3","2","0","2","0","2","1","0"
"Cenk Tosun","tr TUR","MF","Everton","30","1991","1","0","7","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","Matches","2021/2022","0","0","","0.00","0.00","","","","0","","0.0","0.0","1","1","100.0","22","0","0","0","","1","1","100.0","0","0","","0.0","0.0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Andros Townsend","eng ENG","MF,FW","Everton","30","1991","21","17","1,455","16.2","3","2","5","2","1","1","3","0","2.2","1.5","3.1","4.5","41","50","100","0.19","0.12","0.31","0.12","0.25","0.14","0.19","0.33","0.09","0.28","Matches","2021/2022","20","9","45.0","1.24","0.56","0.10","0.22","22.1","4","0.07","+0.8","+0.5","342","497","68.8","5285","1870","185","219","84.5","114","153","74.5","28","82","34.1","2.5","-1.1","31","24","26","16","50","31","17","15","6","10","15","40","37.5","25","28","2","26","14","45","6","1"
"Adama Traoré","es ESP","FW,MF","Wolves","25","1996","20","10","1,067","11.9","1","0","1","1","0","0","0","0","3.0","3.0","1.4","4.4","84","29","85","0.08","0.00","0.08","0.08","0.08","0.25","0.12","0.37","0.25","0.37","Matches","2021/2022","23","5","21.7","1.94","0.42","0.04","0.20","19.7","0","0.13","-2.0","-2.0","242","339","71.4","3655","663","126","158","79.7","79","109","72.5","21","31","67.7","1.4","-1.4","18","15","12","6","29","8","3","6","0","2","3","7","42.9","4","4","1","3","2","10","1","0"
"Bertrand Traoré","bf BFA","MF,FW","Aston Villa","25","1995","9","1","220","2.4","0","0","0","0","0","0","0","0","0.3","0.3","0.0","0.3","12","12","13","0.00","0.00","0.00","0.00","0.00","0.13","0.00","0.13","0.13","0.13","Matches","2021/2022","8","1","12.5","3.27","0.41","0.00","0.00","18.5","0","0.04","-0.3","-0.3","61","84","72.6","923","210","34","41","82.9","24","32","75.0","2","5","40.0","0.1","0.0","0","5","5","0","12","3","3","0","1","2","1","2","50.0","1","0","0","0","0","3","1","0"
"Trézéguet","eg EGY","FW","Aston Villa","26","1994","1","0","11","0.1","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0.0","0","1","4","0.00","0.00","0.00","0.00","0.00","0.38","0.00","0.38","0.38","0.38","Matches","2021/2022","1","0","0.0","8.18","0.00","0.00","","22.0","0","0.05","0.0","0.0","6","6","100.0","98","10","4","4","100.0","1","1","100.0","1","1","100.0","0.0","0.0","0","1","0","0","1","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0"
"Francisco Trincão","pt POR","FW,MF","Wolves","21","1999","28","16","1,336","14.8","2","1","3","2","0","0","0","0","3.7","3.7","1.6","5.4","56","40","93","0.13","0.07","0.20","0.13","0.20","0.25","0.11","0.36","0.25","0.36","Matches","2021/2022","32","13","40.6","2.16","0.88","0.06","0.15","18.6","1","0.12","-1.7","-1.7","356","463","76.9","5329","1095","201","230","87.4","104","127","81.9","30","55","54.5","1.6","-0.6","14","29","11","3","40","28","15","9","13","6","3","19","15.8","16","17","1","16","12","40","1","1"
"Kieran Trippier","eng ENG","DF","Newcastle Utd","30","1990","6","5","429","4.8","2","0","2","2","0","0","0","0","0.2","0.2","0.3","0.5","2","17","8","0.42","0.00","0.42","0.42","0.42","0.05","0.06","0.10","0.05","0.10","Matches","2021/2022","2","2","100.0","0.42","0.42","1.00","1.00","24.5","2","0.11","+1.8","+1.8","189","284","66.5","3454","1758","93","112","83.0","59","87","67.8","33","69","47.8","0.5","-0.3","7","15","5","0","17","17","10","8","8","1","10","16","62.5","6","10","3","7","10","27","10","0"
"William Troost-Ekong","ng NGA","DF","Watford","27","1993","17","15","1,390","15.4","0","0","0","0","0","0","3","0","0.1","0.1","0.1","0.2","7","30","3","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.01","0.01","Matches","2021/2022","2","0","0.0","0.13","0.00","0.00","","21.2","0","0.06","-0.1","-0.1","466","604","77.2","10969","4190","95","112","84.8","275","316","87.0","96","165","58.2","0.1","-0.1","1","27","0","0","30","18","9","11","6","1","10","15","66.7","5","24","14","10","7","25","82","1"
"Leandro Trossard","be BEL","FW,MF","Brighton","26","1994","34","32","2,805","31.2","8","3","11","7","1","1","2","0","6.7","5.9","4.8","10.7","97","154","222","0.26","0.10","0.35","0.22","0.32","0.21","0.15","0.37","0.19","0.34","Matches","2021/2022","73","26","35.6","2.34","0.83","0.10","0.27","18.7","5","0.08","+1.3","+1.1","898","1188","75.6","14462","3283","479","569","84.2","282","357","79.0","90","130","69.2","4.9","-1.8","47","71","53","3","154","34","20","12","9","13","4","31","12.9","27","33","4","29","15","49","10","0"
"Kostas Tsimikas","gr GRE","DF","Liverpool","25","1996","13","9","877","9.7","0","2","2","0","0","0","3","0","0.6","0.6","2.7","3.3","48","47","109","0.00","0.21","0.21","0.00","0.21","0.06","0.27","0.34","0.06","0.34","Matches","2021/2022","8","2","25.0","0.82","0.21","0.00","0.00","16.9","0","0.08","-0.6","-0.6","508","705","72.1","8423","2744","249","278","89.6","219","288","76.0","36","98","36.7","1.9","-0.7","25","34","16","7","47","27","12","12","8","7","12","16","75.0","4","6","2","4","10","37","22","2"
"Axel Tuanzebe","eng ENG","DF","Aston Villa","23","1997","9","6","508","5.6","0","0","0","0","0","0","1","0","0.1","0.1","0.0","0.1","1","6","0","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.02","0.02","0.02","Matches","2021/2022","2","1","50.0","0.35","0.18","0.00","0.00","10.1","0","0.07","-0.1","-0.1","207","241","85.9","3996","1437","66","73","90.4","111","123","90.2","25","39","64.1","0.0","0.0","0","4","0","0","6","5","3","3","2","0","2","5","40.0","3","5","4","1","5","10","12","1"
"Ozan Tufan","tr TUR","MF","Watford","26","1995","7","4","334","3.7","0","0","0","0","0","0","0","0","0.6","0.6","0.3","0.9","2","16","13","0.00","0.00","0.00","0.00","0.00","0.15","0.09","0.24","0.15","0.24","Matches","2021/2022","3","0","0.0","0.81","0.00","0.00","","18.1","0","0.19","-0.6","-0.6","85","122","69.7","1332","409","42","53","79.2","34","47","72.3","4","8","50.0","0.1","-0.3","4","13","2","0","16","3","2","1","1","1","1","5","20.0","4","2","0","2","2","5","4","0"
"Christos Tzolis","gr GRE","FW,MF","Norwich City","19","2002","14","3","336","3.7","0","0","0","0","0","0","0","0","0.4","0.4","0.7","1.1","8","13","31","0.00","0.00","0.00","0.00","0.00","0.12","0.18","0.30","0.12","0.30","Matches","2021/2022","6","2","33.3","1.61","0.54","0.00","0.00","18.5","0","0.07","-0.4","-0.4","75","104","72.1","1152","287","41","51","80.4","26","31","83.9","5","15","33.3","0.6","-0.7","8","1","3","0","13","5","3","3","1","1","2","9","22.2","7","3","0","3","1","6","1","0"
"Yan Valery","tn TUN","DF","Southampton","22","1999","5","3","370","4.1","0","0","0","0","0","0","0","0","0.0","0.0","0.1","0.2","3","10","4","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.04","0.01","0.04","Matches","2021/2022","2","0","0.0","0.49","0.00","0.00","","28.2","0","0.02","0.0","0.0","108","155","69.7","1705","502","48","56","85.7","52","70","74.3","3","17","17.6","0.1","-0.1","1","13","1","1","10","8","6","4","3","1","4","9","44.4","5","6","3","3","6","14","19","1"
"Virgil van Dijk","nl NED","DF","Liverpool","30","1991","34","34","3,060","34.0","3","1","4","3","0","0","3","0","2.0","2.0","1.5","3.6","11","145","4","0.09","0.03","0.12","0.09","0.12","0.06","0.05","0.11","0.06","0.11","Matches","2021/2022","35","14","40.0","1.03","0.41","0.09","0.21","13.3","1","0.06","+1.0","+1.0","2376","2655","89.5","46859","18162","780","848","92.0","1298","1375","94.4","278","395","70.4","1.0","-0.5","9","156","4","0","145","16","10","11","5","0","11","16","68.8","5","21","14","7","31","47","109","0"
"Raphaël Varane","fr FRA","DF","Manchester Utd","28","1993","22","20","1,831","20.3","1","1","2","1","0","0","0","0","0.7","0.7","0.2","0.9","11","49","2","0.05","0.05","0.10","0.05","0.10","0.03","0.01","0.05","0.03","0.05","Matches","2021/2022","9","1","11.1","0.44","0.05","0.11","1.00","9.6","0","0.08","+0.3","+0.3","1014","1156","87.7","20563","6918","305","339","90.0","584","629","92.8","118","168","70.2","0.3","+0.8","4","65","1","0","49","28","19","21","6","1","10","22","45.5","12","18","9","9","18","46","82","1"
"Jamie Vardy","eng ENG","FW","Leicester City","34","1987","25","20","1,806","20.1","15","2","17","15","0","0","2","0","10.8","10.8","1.4","12.2","37","28","112","0.75","0.10","0.85","0.75","0.85","0.54","0.07","0.61","0.54","0.61","Matches","2021/2022","54","25","46.3","2.69","1.25","0.28","0.60","12.4","0","0.20","+4.2","+4.2","184","265","69.4","2679","550","86","121","71.1","69","88","78.4","8","13","61.5","1.0","+0.6","18","9","15","2","28","6","5","0","4","2","1","7","14.3","6","9","0","9","1","7","17","0"
"Joël Veltman","nl NED","DF","Brighton","29","1992","34","33","2,874","31.9","1","1","2","1","0","0","6","0","0.7","0.7","1.6","2.3","25","124","65","0.03","0.03","0.06","0.03","0.06","0.02","0.05","0.07","0.02","0.07","Matches","2021/2022","12","2","16.7","0.38","0.06","0.08","0.50","18.1","0","0.06","+0.3","+0.3","1439","1869","77.0","25694","9691","577","662","87.2","742","909","81.6","102","220","46.4","1.3","-0.6","17","118","22","6","124","74","48","47","21","6","21","53","39.6","32","46","16","30","45","119","89","0"
"Jannik Vestergaard","dk DEN","DF","Leicester City","28","1992","10","6","567","6.3","0","0","0","0","0","0","2","0","0.1","0.1","0.0","0.1","2","19","0","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.02","0.02","0.02","Matches","2021/2022","1","0","0.0","0.16","0.00","0.00","","4.0","0","0.12","-0.1","-0.1","335","377","88.9","6618","2247","118","129","91.5","171","182","94.0","42","59","71.2","0.1","0.0","1","14","1","0","19","15","10","12","3","0","8","15","53.3","7","10","8","2","7","22","36","0"
"Nikola Vlašic","hr CRO","FW,MF","West Ham","23","1997","19","6","560","6.2","1","0","1","1","0","0","0","0","1.3","1.3","0.6","2.0","21","14","48","0.16","0.00","0.16","0.16","0.16","0.21","0.10","0.31","0.21","0.31","Matches","2021/2022","7","3","42.9","1.13","0.48","0.14","0.33","18.5","0","0.19","-0.3","-0.3","165","218","75.7","2200","370","106","122","86.9","44","57","77.2","7","16","43.8","0.6","-0.6","9","6","3","1","14","11","7","4","6","1","5","20","25.0","15","4","0","4","2","13","1","0"
"Matej Vydra","cz CZE","FW","Burnley","29","1992","22","5","679","7.5","2","3","5","2","0","0","1","0","2.9","2.9","0.7","3.7","2","7","43","0.27","0.40","0.66","0.27","0.66","0.39","0.10","0.49","0.39","0.49","Matches","2021/2022","19","7","36.8","2.52","0.93","0.11","0.29","15.1","0","0.15","-0.9","-0.9","75","107","70.1","789","190","52","70","74.3","10","16","62.5","1","2","50.0","0.6","+2.3","6","1","2","0","7","12","7","3","4","5","3","7","42.9","4","5","1","4","0","12","9","0"
