"Name","Nationality","Pos","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","GoalsAgainst","GoalsAgainst/90","SotAgainst","Saves","SavePercentage","Wins","Draws","Losses","CleanSheets","CleanSheetPercent","PensAttempted","PensAllowed","PensSaved","PensMissed","PenSavePercent","Matches","Season"
"Emiliano Martínez","ar ARG","GK","Aston Villa","27","1992","38","38","3,420","38.0","46","1.21","186","133","78.0","16","7","15","15","39.5","6","5","1","0","16.7","Matches","2020/2021"
"Alex McCarthy","eng ENG","GK","Southampton","30","1989","30","30","2,700","30.0","57","1.90","147","91","65.3","8","7","15","7","23.3","6","6","0","0","0.0","Matches","2020/2021"
"Edouard Mendy","sn SEN","GK","Chelsea","28","1992","31","31","2,745","30.5","25","0.82","81","56","71.6","17","7","7","16","51.6","3","2","1","0","33.3","Matches","2020/2021"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2020/2021"
"Illan Meslier","fr FRA","GK","Leeds United","20","2000","35","35","3,150","35.0","52","1.49","188","137","76.6","16","5","14","11","31.4","9","8","1","0","11.1","Matches","2020/2021"
"Will Norris","eng ENG","GK","Burnley","26","1993","2","2","180","2.0","4","2.00","6","2","33.3","0","0","2","0","0.0","0","0","0","0","","Matches","2020/2021"
"Robin Olsen","se SWE","GK","Everton","30","1990","7","7","630","7.0","9","1.29","30","21","73.3","2","3","2","2","28.6","1","1","0","0","0.0","Matches","2020/2021"
"Rui Patrício","pt POR","GK","Wolves","32","1988","37","37","3,329","37.0","51","1.38","148","99","70.3","12","9","16","10","27.0","8","7","1","0","12.5","Matches","2020/2021"
"Bailey Peacock-Farrell","nir NIR","GK","Burnley","23","1996","4","4","360","4.0","14","3.50","24","10","41.7","0","0","4","0","0.0","0","0","0","0","","Matches","2020/2021"
"Jordan Pickford","eng ENG","GK","Everton","26","1994","31","31","2,742","30.5","39","1.28","128","90","71.1","15","5","11","10","32.3","3","2","0","1","0.0","Matches","2020/2021"
"Nick Pope","eng ENG","GK","Burnley","28","1992","32","32","2,880","32.0","37","1.16","149","113","77.2","10","9","13","11","34.4","3","3","0","0","0.0","Matches","2020/2021"
"Aaron Ramsdale","eng ENG","GK","Sheffield Utd","22","1998","38","38","3,420","38.0","63","1.66","206","145","70.9","7","2","29","5","13.2","4","3","0","1","0.0","Matches","2020/2021"
"Darren Randolph","ie IRL","GK","West Ham","33","1987","3","3","270","3.0","3","1.00","9","6","66.7","2","0","1","1","33.3","0","0","0","0","","Matches","2020/2021"
"Marek Rodák","sk SVK","GK","Fulham","23","1996","2","2","180","2.0","5","2.50","9","4","55.6","0","0","2","0","0.0","1","1","0","0","0.0","Matches","2020/2021"
"John Ruddy","eng ENG","GK","Wolves","33","1986","2","1","91","1.0","1","0.99","4","3","75.0","0","0","1","0","0.0","0","0","0","0","","Matches","2020/2021"
"Mathew Ryan","au AUS","GK","Arsenal","28","1992","3","3","270","3.0","2","0.67","10","8","90.0","1","1","1","1","33.3","1","1","0","0","0.0","Matches","2020/2021"
"Mathew Ryan","au AUS","GK","Brighton","28","1992","11","11","990","11.0","19","1.73","34","16","55.9","2","4","5","2","18.2","4","4","0","0","0.0","Matches","2020/2021"
"Robert Sánchez","es ESP","GK","Brighton","22","1997","27","27","2,430","27.0","27","1.00","91","65","72.5","7","10","10","10","37.0","3","2","0","1","0.0","Matches","2020/2021"
"Kasper Schmeichel","dk DEN","GK","Leicester City","33","1986","38","38","3,420","38.0","50","1.32","136","88","66.2","20","6","12","11","28.9","4","4","0","0","0.0","Matches","2020/2021"
"Zack Steffen","us USA","GK","Manchester City","25","1995","1","1","90","1.0","1","1.00","2","1","50.0","1","0","0","0","0.0","0","0","0","0","","Matches","2020/2021"
"João Virgínia","pt POR","GK","Everton","20","1999","1","0","48","0.5","0","0.00","3","3","100.0","0","0","0","0","","0","0","0","0","","Matches","2020/2021"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2019/2020"
"Adrián","es ESP","GK","Liverpool","32","1987","11","9","875","9.7","10","1.03","27","17","63.0","9","0","0","2","22.2","0","0","0","0","","Matches","2019/2020"
"Alisson","br BRA","GK","Liverpool","26","1992","29","29","2,543","28.3","23","0.81","80","58","72.5","23","3","3","13","44.8","1","1","0","0","0.0","Matches","2019/2020"
"Kepa Arrizabalaga","es ESP","GK","Chelsea","24","1994","33","33","2,970","33.0","47","1.42","99","54","54.5","18","4","11","8","24.2","2","2","0","0","0.0","Matches","2019/2020"
"Claudio Bravo","cl CHI","GK","Manchester City","36","1983","4","3","347","3.9","7","1.82","15","8","53.3","2","0","1","1","33.3","0","0","0","0","","Matches","2019/2020"
"Willy Caballero","ar ARG","GK","Chelsea","37","1981","5","5","450","5.0","7","1.40","16","10","56.3","2","2","1","1","20.0","0","0","0","0","","Matches","2019/2020"
"Martin Dúbravka","sk SVK","GK","Newcastle Utd","30","1989","38","38","3,420","38.0","58","1.53","195","139","71.3","11","11","16","11","28.9","2","2","0","0","0.0","Matches","2019/2020"
"Ederson","br BRA","GK","Manchester City","25","1993","35","35","3,071","34.1","28","0.82","95","68","73.7","24","3","8","16","45.7","3","3","0","0","0.0","Matches","2019/2020"
"Lukasz Fabianski","pl POL","GK","West Ham","34","1985","25","25","2,117","23.5","34","1.45","104","71","70.2","8","7","10","5","20.0","4","3","1","0","25.0","Matches","2019/2020"
"Ralf Fährmann","de GER","GK","Norwich City","30","1988","1","1","21","0.2","1","4.29","2","1","100.0","","","1","","","","1","","","","Matches","2019/2020"
"Ben Foster","eng ENG","GK","Watford","36","1983","38","38","3,420","38.0","64","1.68","178","116","68.5","8","10","20","9","23.7","9","8","1","0","11.1","Matches","2019/2020"
"Paulo Gazzaniga","ar ARG","GK","Tottenham","27","1992","18","17","1,613","17.9","26","1.45","82","56","72.0","5","5","7","2","11.8","4","3","1","0","25.0","Matches","2019/2020"
"David de Gea","es ESP","GK","Manchester Utd","28","1990","38","38","3,420","38.0","36","0.95","131","96","74.8","18","12","8","13","34.2","3","3","0","0","0.0","Matches","2019/2020"
"Vicente Guaita","es ESP","GK","Crystal Palace","32","1987","35","35","3,150","35.0","42","1.20","149","109","71.8","11","9","15","10","28.6","1","0","0","1","","Matches","2019/2020"
"Angus Gunn","sct SCO","GK","Southampton","23","1996","10","10","900","10.0","25","2.50","55","30","58.2","2","2","6","2","20.0","2","2","0","0","0.0","Matches","2019/2020"
"Tom Heaton","eng ENG","GK","Aston Villa","33","1986","20","20","1,794","19.9","35","1.76","102","68","68.6","6","3","11","4","20.0","3","3","0","0","0.0","Matches","2019/2020"
"Dean Henderson","eng ENG","GK","Sheffield Utd","22","1997","36","36","3,240","36.0","33","0.92","128","94","75.0","14","11","11","13","36.1","3","1","1","1","50.0","Matches","2019/2020"
"Wayne Hennessey","wls WAL","GK","Crystal Palace","32","1987","3","3","270","3.0","8","2.67","23","15","65.2","0","1","2","0","0.0","0","0","0","0","","Matches","2019/2020"
"Tim Krul","nl NED","GK","Norwich City","31","1988","36","36","3,240","36.0","68","1.89","195","128","66.7","5","6","25","5","13.9","5","3","2","0","40.0","Matches","2019/2020"
"Bernd Leno","de GER","GK","Arsenal","27","1992","30","30","2,649","29.4","39","1.33","151","111","78.1","9","13","8","7","23.3","7","6","1","0","14.3","Matches","2019/2020"
"Hugo Lloris","fr FRA","GK","Tottenham","32","1986","21","21","1,807","20.1","21","1.05","99","78","80.8","11","6","4","6","28.6","3","2","1","0","33.3","Matches","2019/2020"
"David Martin","eng ENG","GK","West Ham","33","1986","5","4","436","4.8","6","1.24","21","15","71.4","2","0","2","2","50.0","0","0","0","0","","Matches","2019/2020"
"Emiliano Martínez","ar ARG","GK","Arsenal","26","1992","9","8","771","8.6","9","1.05","42","33","81.0","5","1","2","3","37.5","1","1","0","0","0.0","Matches","2019/2020"
"Alex McCarthy","eng ENG","GK","Southampton","29","1989","28","28","2,520","28.0","35","1.25","113","78","69.9","13","5","10","7","25.0","2","1","1","0","50.0","Matches","2019/2020"
"Michael McGovern","nir NIR","GK","Norwich City","35","1984","2","1","159","1.8","6","3.40","13","6","53.8","0","0","1","0","0.0","1","0","1","0","100.0","Matches","2019/2020"
"Simon Moore","eng ENG","GK","Sheffield Utd","29","1990","2","2","180","2.0","6","3.00","11","5","45.5","0","1","1","0","0.0","0","0","0","0","","Matches","2019/2020"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2019/2020"
"Ørjan Nyland","no NOR","GK","Aston Villa","28","1990","7","5","539","6.0","12","2.00","27","15","55.6","0","2","3","1","20.0","0","0","0","0","","Matches","2019/2020"
"Rui Patrício","pt POR","GK","Wolves","31","1988","38","38","3,420","38.0","40","1.05","129","88","69.8","15","14","9","13","34.2","3","1","2","0","66.7","Matches","2019/2020"
"Jordan Pickford","eng ENG","GK","Everton","25","1994","38","38","3,420","38.0","56","1.47","147","94","63.9","13","10","15","9","23.7","4","3","0","1","0.0","Matches","2019/2020"
"Nick Pope","eng ENG","GK","Burnley","27","1992","38","38","3,420","38.0","50","1.32","167","117","72.5","15","9","14","15","39.5","5","4","1","0","20.0","Matches","2019/2020"
"Aaron Ramsdale","eng ENG","GK","Bournemouth","21","1998","37","37","3,330","37.0","62","1.68","187","124","69.5","9","7","21","5","13.5","6","5","1","0","16.7","Matches","2019/2020"
"Darren Randolph","ie IRL","GK","West Ham","32","1987","2","2","180","2.0","5","2.50","11","6","63.6","0","1","1","0","0.0","1","1","0","0","0.0","Matches","2019/2020"
"Pepe Reina","es ESP","GK","Aston Villa","36","1982","12","12","1,080","12.0","20","1.67","53","32","66.0","3","3","6","2","16.7","3","2","1","0","33.3","Matches","2019/2020"
"Roberto","es ESP","GK","West Ham","33","1986","8","7","687","7.6","17","2.23","51","35","68.6","0","1","6","0","0.0","1","1","0","0","0.0","Matches","2019/2020"
"Mathew Ryan","au AUS","GK","Brighton","27","1992","38","38","3,420","38.0","54","1.42","168","116","69.0","9","14","15","9","23.7","2","2","0","0","0.0","Matches","2019/2020"
"Kasper Schmeichel","dk DEN","GK","Leicester City","32","1986","38","38","3,420","38.0","41","1.08","135","94","75.6","18","8","12","13","34.2","10","8","2","0","20.0","Matches","2019/2020"
"Jed Steer","eng ENG","GK","Aston Villa","26","1992","1","1","7","0.1","","","","","","","","1","","","","","","","","Matches","2019/2020"
"Mark Travers","ie IRL","GK","Bournemouth","20","1999","1","1","90","1.0","3","3.00","5","2","40.0","0","0","1","0","0.0","0","0","0","0","","Matches","2019/2020"
