"Name","Nationality","Pos","Team","Age","YOB","MatchedPlayed","Starts","MinutesPlayed","90s","GoalsAgainst","GoalsAgainst/90","SotAgainst","Saves","SavePercentage","Wins","Draws","Losses","CleanSheets","CleanSheetPercent","PensAttempted","PensAllowed","PensSaved","PensMissed","PenSavePercent","Matches","Season"
"Jason Steele","eng ENG","GK","Brighton","33-209","1990","15","15","1,350","15.0","28","1.87","64","38","60.9","5","4","6","2","13.3","3","3","0","0","0.0","Matches","2023/2024"
"Thomas Strakosha","al ALB","GK","Brentford","28-361","1995","2","1","135","1.5","2","1.33","8","6","75.0","0","0","1","0","0.0","0","0","0","0","","Matches","2023/2024"
"James Trafford","eng ENG","GK","Burnley","21-156","2002","28","28","2,520","28.0","62","2.21","166","106","65.7","3","5","20","2","7.1","5","5","0","0","0.0","Matches","2023/2024"
"Matt Turner","us USA","GK","Nott'ham Forest","29-264","1994","17","17","1,530","17.0","28","1.65","80","52","67.5","4","5","8","2","11.8","2","2","0","0","0.0","Matches","2023/2024"
"Bart Verbruggen","nl NED","GK","Brighton","21-209","2002","13","13","1,170","13.0","16","1.23","51","35","72.5","6","5","2","2","15.4","2","2","0","0","0.0","Matches","2023/2024"
"Guglielmo Vicario","it ITA","GK","Tottenham","27-159","1996","27","27","2,430","27.0","39","1.44","114","77","71.1","16","5","6","6","22.2","6","6","0","0","0.0","Matches","2023/2024"
"Odisseas Vlachodimos","gr GRE","GK","Nott'ham Forest","29-323","1994","5","5","450","5.0","12","2.40","22","10","50.0","1","0","4","1","20.0","1","1","0","0","0.0","Matches","2023/2024"
"Player","Nation","Pos","Squad","Age","Born","MP","Starts","Min","90s","GA","GA90","SoTA","Saves","Save%","W","D","L","CS","CS%","PKatt","PKA","PKsv","PKm","Save%","Matches","2022/2023"
"Alisson","br BRA","GK","Liverpool","29","1992","37","37","3,330","37.0","43","1.16","147","105","72.1","19","9","9","14","37.8","4","2","1","1","33.3","Matches","2022/2023"
"Alphonse Areola","fr FRA","GK","West Ham","29","1993","5","2","309","3.4","7","2.04","16","9","68.8","0","1","1","1","50.0","2","2","0","0","0.0","Matches","2022/2023"
"Kepa Arrizabalaga","es ESP","GK","Chelsea","27","1994","29","29","2,565","28.5","33","1.16","120","90","73.3","8","9","12","9","31.0","1","1","0","0","0.0","Matches","2022/2023"
"Gavin Bazunu","ie IRL","GK","Southampton","20","2002","32","32","2,880","32.0","56","1.75","120","67","54.2","6","6","20","4","12.5","2","1","1","0","50.0","Matches","2022/2023"
"Asmir Begovic","ba BIH","GK","Everton","35","1987","1","1","90","1.0","0","0.00","4","4","100.0","1","0","0","1","100.0","0","0","0","0","","Matches","2022/2023"
"Daniel Bentley","eng ENG","GK","Wolves","29","1993","2","2","180","2.0","3","1.50","13","10","76.9","0","1","1","0","0.0","0","0","0","0","","Matches","2022/2023"
"Martin Dúbravka","sk SVK","GK","Newcastle Utd","33","1989","2","1","157","1.7","1","0.57","9","9","88.9","0","1","0","0","0.0","0","0","0","0","","Matches","2022/2023"
"Ederson","br BRA","GK","Manchester City","28","1993","35","35","3,150","35.0","32","0.91","77","46","62.3","26","4","5","11","31.4","3","3","0","0","0.0","Matches","2022/2023"
"Lukasz Fabianski","pl POL","GK","West Ham","37","1985","36","36","3,111","34.6","48","1.39","154","106","70.1","11","6","19","8","22.2","4","2","1","1","33.3","Matches","2022/2023"
"Fraser Forster","eng ENG","GK","Tottenham","34","1988","14","13","1,215","13.5","24","1.78","55","30","60.0","5","3","5","3","23.1","3","2","1","0","33.3","Matches","2022/2023"
"David de Gea","es ESP","GK","Manchester Utd","31","1990","38","38","3,420","38.0","43","1.13","142","99","71.1","23","6","9","17","44.7","3","2","1","0","33.3","Matches","2022/2023"
"Vicente Guaita","es ESP","GK","Crystal Palace","35","1987","27","27","2,430","27.0","34","1.26","116","84","72.4","7","9","11","6","22.2","2","2","0","0","0.0","Matches","2022/2023"
"Dean Henderson","eng ENG","GK","Nott'ham Forest","25","1997","18","18","1,620","18.0","31","1.72","85","52","65.9","5","5","8","6","33.3","5","2","2","1","50.0","Matches","2022/2023"
"Wayne Hennessey","wls WAL","GK","Nott'ham Forest","35","1987","4","3","271","3.0","5","1.66","14","9","64.3","0","2","1","1","33.3","0","0","0","0","","Matches","2022/2023"
"Daniel Iversen","dk DEN","GK","Leicester City","25","1997","12","12","1,080","12.0","22","1.83","59","38","66.1","2","4","6","1","8.3","2","2","0","0","0.0","Matches","2022/2023"
"Sam Johnstone","eng ENG","GK","Crystal Palace","29","1993","9","9","810","9.0","10","1.11","34","25","76.5","4","3","2","3","33.3","2","2","0","0","0.0","Matches","2022/2023"
"Caoimhín Kelleher","ie IRL","GK","Liverpool","23","1998","1","1","90","1.0","4","4.00","10","6","60.0","0","1","0","0","0.0","0","0","0","0","","Matches","2022/2023"
"Bernd Leno","de GER","GK","Fulham","30","1992","36","36","3,240","36.0","51","1.42","192","142","77.1","15","5","16","8","22.2","8","7","1","0","12.5","Matches","2022/2023"
"Hugo Lloris","fr FRA","GK","Tottenham","35","1986","25","25","2,205","24.5","39","1.59","117","79","67.5","13","3","9","7","28.0","1","1","0","0","0.0","Matches","2022/2023"
"Emiliano Martínez","ar ARG","GK","Aston Villa","29","1992","36","36","3,139","34.9","38","1.09","132","97","74.2","17","7","12","11","30.6","5","4","1","0","20.0","Matches","2022/2023"
