Name,Season,player_id,date,market_value_in_eur,current_club_id,player_club_domestic_competition_id,Nationality,Position,Team,Age,YOB,MatchedPlayed,Starts,MinutesPlayed,90s,Goals,Assists,GA,NonPenGoals,PensScored,PensAttempted,YellowCards,RedCards,xG,npxG,xAG,npxG + xAG,ProgressiveCarries,ProgressivePasses,ProgressivePassesReceived,G/90,A/90,GA/90,NonPenGoals/90,NonPenGA/90,xG/90,xAG/90,xA+xG /90,npxG/90,npXG + xAG /90,Matches,Shots,ShotsOnTarget,SoT%,S/90,SoT/90,G/Shot,G/SoT,AvgShotDist,FKShots,npxG/Shot,Goals - xG,npG - npxG,PassesCompleted,PassesAttempted,PercentPassesCompleted,TotalPassingDistance,ProgressedPassingDistance,ShortPassesCompleted,ShortPassesAttempted,ShortPassesPercentCompleted,MedPassesCompleted,MedPassesAttempted,MedPassesPercentCompleted,LongPassesCompleted,LongPassesAttempted,LongPassesPercentCompleted,xA,A - xAG,KeyPasses,1/3,PPen,CPen,Progressive Passes,Tackles,TacklesWon,TklsDefThird,TklsMidThird,TklsAttThird,DribblersTackled,DribblesChallenged,DrblTkl%,ChallengesLost,Blocks,BlockedShots,BlockedPasses,Interceptions,Tackles + Interceptions,Clearances,DefensiveErrors,nationality_id,team_id,position_id,season_id
Diogo Jota,2021/2022,340950,2021-12-23,60000000,31,GB1,pt POR,FW,Liverpool,24,1996,35,27,"2,364",26.3,15,4,19,15,0,0,3,0,16.3,16.3,5.8,22.0,74.0,87.0,191.0,0.57,0.15,0.72,0.57,0.72,0.62,0.22,0.84,0.62,0.84,Matches,90,32,35.6,3.43,1.22,0.17,0.47,12.3,0.0,0.19,-1.3,-1.3,559.0,770.0,72.6,7799.0,1928.0,324.0,397.0,81.6,183.0,231.0,79.2,22.0,46.0,47.8,3.5,-1.8,40.0,46.0,26.0,2.0,87.0,39.0,18,12.0,18.0,9.0,13.0,55.0,23.6,42.0,19.0,2.0,17.0,6,45.0,6.0,0.0,24,15,1,3
Diogo Jota,2022/2023,340950,2022-11-03,55000000,31,GB1,pt POR,FW,Liverpool,25,1996,22,12,"1,131",12.6,7,4,11,7,0,0,2,0,6.5,6.5,2.1,8.6,34.0,30.0,104.0,0.56,0.32,0.88,0.56,0.88,0.52,0.17,0.69,0.52,0.69,Matches,35,11,31.4,2.79,0.88,0.2,0.64,11.7,0.0,0.19,0.5,0.5,286.0,381.0,75.1,3868.0,886.0,172.0,216.0,79.6,87.0,109.0,79.8,10.0,20.0,50.0,1.7,1.9,17.0,28.0,8.0,2.0,30.0,23.0,15,8.0,8.0,7.0,12.0,37.0,32.4,25.0,5.0,0.0,5.0,3,26.0,11.0,0.0,24,15,1,4
Diogo Jota,2023/2024,340950,2023-12-19,50000000,31,GB1,pt POR,FW,Liverpool,27,1996,19,13,"1,047",11.6,9,3,12,9,0,0,3,1,4.4,4.4,2.9,7.3,48.0,31.0,99.0,0.77,0.26,1.03,0.77,1.03,0.38,0.25,0.63,0.38,0.63,Matches,36,17,47.2,3.09,1.46,0.25,0.53,12.5,0.0,0.12,4.6,4.6,270.0,368.0,73.4,3800.0,914.0,172.0,212.0,81.1,80.0,100.0,80.0,11.0,16.0,68.8,1.7,0.1,20.0,17.0,11.0,0.0,31.0,23.0,13,6.0,13.0,4.0,10.0,22.0,45.5,12.0,8.0,1.0,7.0,6,29.0,4.0,0.0,24,15,1,5
Divin Mubama,2022/2023,670848,2022-11-03,250000,379,GB1,eng ENG,FW,West Ham,17,2004,3,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07,Matches,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,108.0,37.0,2.0,2.0,100.0,2.0,4.0,50.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2,2,1,4
Divin Mubama,2023/2024,670848,2023-12-19,1000000,379,GB1,eng ENG,FW,West Ham,19,2004,5,0,80,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,Matches,1,0,0.0,1.13,0.0,0.0,0.0,12.5,0.0,0.15,-0.1,-0.1,16.0,22.0,72.7,200.0,15.0,12.0,16.0,75.0,2.0,3.0,66.7,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,2,1,5
Divock Origi,2019/2020,148368,2020-04-08,16000000,703,GB1,be BEL,FW,Liverpool,24,1995,28,7,717,8.0,4,1,5,4,0,0,1,0,1.8,1.8,0.8,2.6,37.0,12.0,90.0,0.5,0.13,0.63,0.5,0.63,0.22,0.1,0.32,0.22,0.32,Matches,14,6,42.9,1.76,0.75,0.29,0.67,15.7,0.0,0.13,2.2,2.2,143.0,216.0,66.2,1986.0,254.0,85.0,114.0,74.6,36.0,52.0,69.2,11.0,25.0,44.0,0.3,0.2,8.0,3.0,8.0,2.0,12.0,12.0,9,2.0,5.0,5.0,4.0,9.0,44.4,5.0,2.0,0.0,2.0,4,16.0,5.0,0.0,12,15,1,1
Divock Origi,2020/2021,148368,2021-06-08,12000000,703,GB1,be BEL,FW,Liverpool,25,1995,9,2,186,2.1,0,0,0,0,0,0,0,0,1.1,1.1,0.2,1.3,5.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,0.54,0.07,0.62,0.54,0.62,Matches,7,2,28.6,3.39,0.97,0.0,0.0,18.5,0.0,0.16,-1.1,-1.1,47.0,61.0,77.0,488.0,78.0,30.0,34.0,88.2,11.0,15.0,73.3,0.0,1.0,0.0,0.2,-0.2,2.0,2.0,0.0,0.0,5.0,3.0,2,0.0,2.0,1.0,1.0,3.0,33.3,2.0,5.0,1.0,4.0,1,4.0,2.0,0.0,12,15,1,2
Divock Origi,2021/2022,148368,2021-12-23,12000000,703,GB1,be BEL,FW,Liverpool,26,1995,7,0,133,1.5,3,0,3,3,0,0,0,0,1.5,1.5,0.0,1.5,3.0,2.0,9.0,2.03,0.0,2.03,2.03,2.03,1.02,0.0,1.02,1.02,1.02,Matches,10,5,50.0,6.77,3.38,0.3,0.6,14.9,0.0,0.15,1.5,1.5,28.0,37.0,75.7,297.0,47.0,18.0,23.0,78.3,3.0,5.0,60.0,1.0,1.0,100.0,0.1,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1,1.0,2.0,0.0,12,15,1,3
Divock Origi,2023/2024,148368,2023-12-19,5000000,703,GB1,be BEL,FW,Nott'ham Forest,28,1995,14,4,398,4.4,0,1,1,0,0,0,1,0,0.7,0.7,1.8,2.4,11.0,10.0,22.0,0.0,0.23,0.23,0.0,0.23,0.15,0.4,0.55,0.15,0.55,Matches,7,2,28.6,1.58,0.45,0.0,0.0,21.4,0.0,0.1,-0.7,-0.7,47.0,77.0,61.0,657.0,223.0,33.0,45.0,73.3,9.0,19.0,47.4,4.0,4.0,100.0,0.6,-0.8,6.0,3.0,4.0,1.0,10.0,4.0,2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,1,5.0,2.0,0.0,12,22,1,5
Djed Spence,2022/2023,483348,2022-11-03,13000000,252,IT1,eng ENG,"FW,DF",Tottenham,21,2000,4,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.83,0.83,0.83,Matches,1,0,0.0,12.86,0.0,0.0,0.0,8.9,0.0,0.06,-0.1,-0.1,5.0,9.0,55.6,60.0,4.0,4.0,5.0,80.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2,21,7,4
